Item Name,Price,Quantity,Date,Category,Total Price
BANANE BIO,1.99,0.46,2024-09-17,Fruit,0.92
BANANENCHIPS,2.49,1,2024-09-17,Candy,2.49
SOJAGHURT NATUR,0.95,4,2024-09-17,Yoghurt-Meal,3.8
GERAMONT CLASSIC,2.22,1,2024-09-19,Dairy,2.22
"BIO FR.MILCH 3,8",1.25,1,2024-09-19,Dairy,1.25
SOJAGHURT NATUR,0.95,3,2024-09-19,Yoghurt-Meal,2.85
SULTANINEN,1.19,2,2024-09-19,Yoghurt-Meal,2.38
TOFFIFEE WHITE,1.49,1,2024-09-19,Candy,1.49
FA MEN,0.99,1,2024-09-19,Hygiene,0.99
FA,0.99,1,2024-09-19,Hygiene,0.99
LEERG. MW E. ST,-0.5,1,2024-09-19,Pawn Payback,-0.5
LEERG. MW E. ST,-2.75,1,2024-09-19,Pawn Payback,-2.75
LEERG. MW E. ST,-0.3,1,2024-09-19,Pawn Payback,-0.3
"Fa Dusche 0,88",-0.22,1,2024-09-19,Discount,-0.22
ZWIEBEL ROT BIO,1.79,1,2024-09-20,Vegetables,1.79
TOMATE RISPE,2.29,1,2024-09-20,Vegetables,2.29
BIO SUESSR-BUTT.,2.59,1,2024-09-20,Dairy,2.59
SOJAGHURT NATUR,0.95,3,2024-09-20,Yoghurt-Meal,2.85
KAKAO,2.99,1,2024-09-20,Yoghurt-Meal,2.99
BIO KESSELCHIPS,1.99,1,2024-09-20,Snacks,1.99
APFEL SNACKAPFEL,1.99,1,2024-09-21,Fruit,1.99
INGWER BIO,7.9,0.088,2024-09-21,Vegetables,0.7
KNOBLAUCH BIO,1.09,1,2024-09-21,Vegetables,1.09
KUERB. HOKKAIDO,1.19,1.076,2024-09-21,Vegetables,1.28
"BIO FR.MILCH 3,8",1.25,1,2024-09-21,Dairy,1.25
SOJAGHURT NATUR,0.95,2,2024-09-21,Yoghurt-Meal,1.9
WEIZEN-VOLLKORNM,0.99,1,2024-09-21,Cereal,0.99
SPEISEHIRSE,3.99,1,2024-09-21,Cereal,3.99
BACKIN,1.29,1,2024-09-21,Processed Meal Part,1.29
BACKAROM.ZITRONE,0.89,1,2024-09-21,Processed Meal Part,0.89
HONIG FLUESSIG,6.99,1,2024-09-21,Processed Meal Part,6.99
COCA COLA,1.59,1,2024-09-21,Cola,1.59
"PFAND 0,25 EURO",0.25,1,2024-09-21,Pawn,0.25
Rewe Regional 5%,-0.06,1,2024-09-21,Discount,-0.06
EIER FH RES 10ER,2.59,1,2024-09-24,Animal,2.59
SOJAGHURT NATUR,0.95,6,2024-09-24,Yoghurt-Meal,5.7
SERVIETTEN 33CM,0.85,1,2024-09-24,Hygiene,0.85
OBLATEN,2.29,1,2024-09-24,Candy,2.29
RBW Produkte -10%,-0.83,1,2024-09-24,Discount,-0.83
"BIO FR.MILCH 3,8",1.25,1,2024-09-26,Dairy,1.25
SOJAGHURT NATUR,0.95,3,2024-09-26,Yoghurt-Meal,2.85
CORNFLAKES,1.69,1,2024-09-26,Yoghurt-Meal,1.69
SULTANINEN,1.19,3,2024-09-26,Yoghurt-Meal,3.57
RBW Produkte -10%,-0.29,1,2024-09-26,Discount,-0.29
SOJAGHURT NATUR,0.95,3,2024-09-27,Yoghurt-Meal,2.85
HAEHNCHENPFANNE,3.69,1,2024-09-27,Ready Meals,3.69
COCA COLA,1.59,1,2024-09-27,Cola,1.59
"PFAND 0,25 EURO",0.25,1,2024-09-27,Pawn,0.25
RBW Produkte -10%,-0.65,1,2024-09-27,Discount,-0.65
HAEHNCHENPFANNE,3.69,1,2024-09-28,Ready Meals,3.69
OLIV.GRUEN O.ST.,1.79,2,2024-09-28,Vegetables,3.58
GETR. TOMATEN,1.79,1,2024-09-28,Processed Meal Part,1.79
STUECKIGE TOMATE,1.19,2,2024-09-28,Vegetables,2.38
TOFFIFEE 15ER,1.49,1,2024-09-28,Candy,1.49
RBW Produkte -10%,-1.14,1,2024-09-28,Discount,-1.14
BIO EIER KL. S-L,2.49,1,2024-09-30,Animal,2.49
"BIO FR.MILCH 3,8",1.25,1,2024-09-30,Dairy,1.25
SOJAGHURT NATUR,0.95,3,2024-09-30,Yoghurt-Meal,2.85
KAKAO,2.99,1,2024-09-30,Yoghurt-Meal,2.99
COCA COLA,1.59,1,2024-09-30,Cola,1.59
"PFAND 0,25 EURO",0.25,1,2024-09-30,Pawn,0.25
RBW Produkte -10%,-0.29,1,2024-09-30,Discount,-0.29
KARTOFFELN BIO,2.22,1,2024-10-02,Vegetables,2.22
SOJAGHURT NATUR,0.95,4,2024-10-02,Yoghurt-Meal,3.8
TEMPO TASCHENT.,1.89,1,2024-10-02,Hygiene,1.89
RBW Produkte -10%,-0.38,1,2024-10-02,Discount,-0.38
ZWIEBEL ROT,0.75,1,2024-10-04,Vegetables,0.75
COCKTAILRISPE,2.49,1,2024-10-04,Vegetables,2.49
CHAMPIGNONS W,1.49,1,2024-10-04,Vegetables,1.49
RAPSKERNOEL,1.55,1,2024-10-04,Oil,1.55
BIO KESSELCHIPS,1.99,1,2024-10-04,Snacks,1.99
COCA COLA,1.59,1,2024-10-04,Cola,1.59
"PFAND 0,25 EURO",0.25,1,2024-10-04,Pawn,0.25
BLATTSPINAT,2.39,1,2024-10-05,Vegetables,2.39
ROTE LINSEN,2.29,1,2024-10-05,Lentils,2.29
KOKOSMILCH,1.29,2,2024-10-05,Processed Meal Part,2.58
COCA COLA,1.59,1,2024-10-05,Cola,1.59
"PFAND 0,25 EURO",0.25,1,2024-10-05,Pawn,0.25
RBW Produkte -10%,-0.26,1,2024-10-05,Discount,-0.26
BANANENCHIPS,2.49,1,2024-10-07,Candy,2.49
HAFERFL. ZART,0.79,2,2024-10-07,Breakfast,1.58
SULTANINEN,1.19,3,2024-10-07,Yoghurt-Meal,3.57
HUEHNERNUDELTOPF,1.99,1,2024-10-07,Ready Meals,1.99
LINSENCHIPS,0.99,1,2024-10-07,Snacks,0.99
RBW Produkte -5%,-0.05,1,2024-10-07,Discount,-0.05
SOJA NATUR UNGES,1.49,3,2024-10-08,Yoghurt-Meal,4.47
MY HAPPY PLACE,2.99,1,2024-10-08,Tea,2.99
BE HAPPY TEE,2.99,1,2024-10-08,Tea,2.99
APF. SANTANA BIO,3.49,1,2024-10-09,Fruit,3.49
"BIO FR.MILCH 3,8",1.25,1,2024-10-09,Dairy,1.25
COCA COLA,1.59,1,2024-10-09,Cola,1.59
"PFAND 0,25 EURO",0.25,1,2024-10-09,Pawn,0.25
SOYADESS.VANILLE,1.49,1,2024-10-10,Candy,1.49
SOYADESS.SCHOKO,1.49,1,2024-10-10,Candy,1.49
SOJA NATUR UNGES,1.49,3,2024-10-10,Yoghurt-Meal,4.47
CORNFLAKES,1.69,1,2024-10-10,Yoghurt-Meal,1.69
COCA COLA,1.59,1,2024-10-10,Cola,1.59
"PFAND 0,25 EURO",0.25,1,2024-10-10,Pawn,0.25
SOJAGHURT NATUR,0.95,2,2024-10-11,Yoghurt-Meal,1.9
KOKOSMILCH,1.29,2,2024-10-11,Processed Meal Part,2.58
BIO KOKOSMILCH,1.29,2,2024-10-11,Processed Meal Part,2.58
BIO KESSELCHIPS,1.99,1,2024-10-11,Snacks,1.99
RBW Produkte -5%,-0.22,1,2024-10-11,Discount,-0.22
SOJAGHURT NATUR,0.95,2,2024-10-12,Yoghurt-Meal,1.9
BLATTSPINAT,2.39,1,2024-10-12,Vegetables,2.39
COCA COLA,1.59,1,2024-10-12,Cola,1.59
"PFAND 0,25 EURO",0.25,1,2024-10-12,Pawn,0.25
RBW Produkte -5%,-0.1,1,2024-10-12,Discount,-0.1
KAROTTE BIO,0.99,1,2024-10-14,Vegetables,0.99
SOJAGHURT NATUR,0.95,2,2024-10-14,Yoghurt-Meal,1.9
HAEHNCHEN PAELLA,2.69,1,2024-10-14,Ready Meals,2.69
COCA COLA ZERO,1.19,1,2024-10-14,Cola,1.19
"PFAND 0,25 EURO",0.25,1,2024-10-14,Pawn,0.25
RBW Produkte -5%,-0.1,1,2024-10-14,Discount,-0.1
"Frosta Gerichte 2,49",-0.2,1,2024-10-14,Discount,-0.2
BIO CAMEMBERT,1.99,1,2024-10-16,Dairy,1.99
SOJAGURT NATUR,1.39,3,2024-10-16,Yoghurt-Meal,4.17
"BIO FR.MILCH 3,8",1.25,1,2024-10-17,Dairy,1.25
SOJAGHURT NATUR,0.95,1,2024-10-17,Yoghurt-Meal,0.95
SOJAGURT NATUR,1.39,1,2024-10-17,Yoghurt-Meal,1.39
COCA COLA ZERO,1.19,1,2024-10-17,Cola,1.19
"PFAND 0,25 EURO",0.25,1,2024-10-17,Pawn,0.25
RBW Produkte -5%,-0.05,1,2024-10-17,Discount,-0.05
BIO EIER KL. S-L,2.49,1,2024-10-19,Animal,2.49
SOJAGURT NATUR,1.39,2,2024-10-19,Yoghurt-Meal,2.78
HERINGSFILETS,1.99,1,2024-10-19,Ready Meals,1.99
COCA COLA ZERO,1.19,1,2024-10-19,Cola,1.19
"PFAND 0,25 EURO",0.25,1,2024-10-19,Pawn,0.25
GERAMONT CLASSIC,2.22,1,2024-10-21,Dairy,2.22
TORT. TOM-MOZ,2.19,1,2024-10-21,Processed Meal Part,2.19
SOJAGHURT NATUR,0.95,1,2024-10-21,Yoghurt-Meal,0.95
SULTANINEN,1.19,1,2024-10-21,Yoghurt-Meal,1.19
KAKAO,2.99,1,2024-10-21,Yoghurt-Meal,2.99
BIO TOMATENS.KRA,1.89,2,2024-10-21,Processed Meal Part,3.78
HERINGSFILETS,1.99,1,2024-10-21,Ready Meals,1.99
LEERG. MW E. ST,-2.75,1,2024-10-21,Pawn Payback,-2.75
"Appel Heringsf. 1,19",-0.8,1,2024-10-21,Discount,-0.8
REWE Bio -5%,-0.3,1,2024-10-21,Discount,-0.3
SOJAGURT NATUR,1.39,3,2024-10-22,Yoghurt-Meal,4.17
CORNFLAKES,1.69,1,2024-10-22,Yoghurt-Meal,1.69
REWE Bio -5%,-0.21,1,2024-10-22,Discount,-0.21
SULTANINEN,1.19,3,2024-10-23,Yoghurt-Meal,3.57
ZIMT GEMAHLEN,3.69,1,2024-10-23,Yoghurt-Meal,3.69
BIO KOKOSMILCH,1.29,3,2024-10-23,Processed Meal Part,3.87
ORANGE 60%,1.39,1,2024-10-23,Candy,1.39
REWE Bio -5%,-0.26,1,2024-10-23,Discount,-0.26
GERAMONT CLASSIC,2.22,2,2024-10-25,Dairy,4.44
SOJAGURT NATUR,1.39,3,2024-10-25,Yoghurt-Meal,4.17
HUEHNERNUDELTOPF,3.39,1,2024-10-25,Ready Meals,3.39
ORANGE 60%,1.39,1,2024-10-25,Candy,1.39
REWE Bio -5%,-0.28,1,2024-10-25,Discount,-0.28
ROSENKOHL,1.49,1,2024-10-26,Vegetables,1.49
SOJAGURT NATUR,1.39,2,2024-10-26,Yoghurt-Meal,2.78
REWE Bio -5%,-0.14,1,2024-10-26,Discount,-0.14
TORTELLONI,1.89,1,2024-10-28,Processed Meal Part,1.89
ZWIEBEL ROT,0.79,1,2024-10-28,Vegetables,0.79
BIO TOMATENS.KRA,1.89,2,2024-10-28,Processed Meal Part,3.78
REWE Bio -5%,-0.19,1,2024-10-28,Discount,-0.19
SOJAGURT NATUR,1.39,3,2024-10-29,Yoghurt-Meal,4.17
ORANGE 60%,1.39,1,2024-10-29,Candy,1.39
REWE Bio -5%,-0.28,1,2024-10-29,Discount,-0.28
"BIO FR.MILCH 3,8",1.25,1,2024-10-31,Dairy,1.25
SOJAGHURT NATUR,0.85,3,2024-10-31,Yoghurt-Meal,2.55
KEKSE NUESSE,2.69,1,2024-10-31,Candy,2.69
REWE Bio -5%,-0.06,1,2024-10-31,Discount,-0.06
"BIO FR.MILCH 3,8",1.25,1,2024-11-02,Dairy,1.25
SOJAGURT NATUR,1.39,2,2024-11-02,Yoghurt-Meal,2.78
HUEHNERNUDELTOPF,3.39,1,2024-11-02,Ready Meals,3.39
ZIMT GEMAHLEN,3.69,1,2024-11-02,Yoghurt-Meal,3.69
M&M S 250GR,3.99,1,2024-11-02,Candy,3.99
REWE Bio -5%,-0.2,1,2024-11-02,Discount,-0.2
SOJAGHURT NATUR,0.95,1,2024-11-04,Yoghurt-Meal,0.95
PAELLA,3.49,1,2024-11-04,Ready Meals,3.49
PRINZENROLLE,2.29,1,2024-11-04,Candy,2.29
EIER FH RES S-L,1.89,1,2024-11-05,Animal,1.89
SOJAGHURT NATUR,0.95,2,2024-11-05,Yoghurt-Meal,1.9
CORNFLAKES,1.69,1,2024-11-05,Yoghurt-Meal,1.69
APFELMUS,1.89,1,2024-11-05,Processed Meal Part,1.89
CHIPSFRISCH,1.29,1,2024-11-05,Snacks,1.29
"Funny Frisch 1,11",-0.18,1,2024-11-05,Discount,-0.18
BANANENCHIPS,2.49,1,2024-11-06,Candy,2.49
SOJAGURT NATUR,1.39,4,2024-11-06,Yoghurt-Meal,5.56
HAEHNCHENPFANNE,3.69,1,2024-11-06,Ready Meals,3.69
WEIZEN-VOLLKORNM,0.99,1,2024-11-06,Cereal,0.99
RAPSKERNOEL,1.55,1,2024-11-06,Oil,1.55
REWE Bio -5%,-0.53,1,2024-11-06,Discount,-0.53
SOYADESS.SCHOKO,2.19,1,2024-11-07,Candy,2.19
SOYADESS.VANILLE,2.19,1,2024-11-07,Candy,2.19
SCHOKOMUESLI,2.79,1,2024-11-08,Breakfast,2.79
SULTANINEN,1.19,3,2024-11-08,Yoghurt-Meal,3.57
KAKAO,2.99,1,2024-11-08,Yoghurt-Meal,2.99
HUEHNERNUDELTOPF,3.39,1,2024-11-08,Ready Meals,3.39
REWE Bio -5%,-0.14,1,2024-11-08,Discount,-0.14
GERAMONT CLASSIC,3.29,1,2024-11-09,Dairy,3.29
SOJAGURT NATUR,1.39,3,2024-11-09,Yoghurt-Meal,4.17
SOFT CAKE ORANGE,1.79,1,2024-11-09,Candy,1.79
REWE Bio -5%,-0.21,1,2024-11-09,Discount,-0.21
GERAMONT CLASSIC,2.22,3,2024-11-11,Dairy,6.66
ZITRONE BIO,1.39,1,2024-11-11,Vegetables,1.39
AUBERGINE,0.99,1,2024-11-11,Vegetables,0.99
SOJAGURT NATUR,1.39,1,2024-11-11,Yoghurt-Meal,1.39
SCHINKEN-SAUERRA,1.99,1,2024-11-11,Ready Meals,1.99
HERINGSFILET TER,1.99,1,2024-11-11,Ready Meals,1.99
COCA COLA ZERO,1.19,1,2024-11-11,Cola,1.19
"PFAND 0,25 EURO",0.25,1,2024-11-11,Pawn,0.25
ZC KARIESSCHUTZ,1.39,1,2024-11-11,Hygiene,1.39
OM3 MINZFRISCH,1.39,1,2024-11-11,Hygiene,1.39
REWE Bio -5%,-0.07,1,2024-11-11,Discount,-0.07
"Ofenfrische 1,88",-0.11,1,2024-11-11,Discount,-0.11
KARTOFFELN BIO,2.99,1,2024-11-12,Vegetables,2.99
KNOBLAUCH,1.29,1,2024-11-12,Vegetables,1.29
AUBERGINE,0.99,1,2024-11-12,Vegetables,0.99
SOJAGURT NATUR,1.39,3,2024-11-12,Yoghurt-Meal,4.17
PASSIERTE TOMATE,1.19,1,2024-11-12,Vegetables,1.19
COCA COLA ZERO,1.19,1,2024-11-12,Cola,1.19
"PFAND 0,25 EURO",0.25,1,2024-11-12,Pawn,0.25
REWE Bio -5%,-0.36,1,2024-11-12,Discount,-0.36
"BIO FR.MILCH 3,8",1.25,1,2024-11-14,Dairy,1.25
SOJAGHURT NATUR,0.95,3,2024-11-14,Yoghurt-Meal,2.85
SCHOKOMUESLI,2.79,1,2024-11-14,Breakfast,2.79
BIO PORR. BEERE,2.99,2,2024-11-14,Breakfast,5.98
HERINGSFILET TER,1.99,1,2024-11-14,Ready Meals,1.99
COCA COLA ZERO,1.19,1,2024-11-14,Cola,1.19
"PFAND 0,25 EURO",0.25,1,2024-11-14,Pawn,0.25
OBLATEN,2.39,1,2024-11-14,Candy,2.39
REWE Bio -5%,-0.5,1,2024-11-14,Discount,-0.5
GERAMONT CLASSIC,2.22,2,2024-11-16,Dairy,4.44
AUBERGINE BIO,0.88,2,2024-11-16,Vegetables,1.76
SOJAGURT NATUR,1.39,2,2024-11-16,Yoghurt-Meal,2.78
HUEHNERNUDELTOPF,1.99,1,2024-11-16,Ready Meals,1.99
STUECKIGE TOMATE,1.19,1,2024-11-16,Vegetables,1.19
COCA COLA ZERO,1.19,1,2024-11-16,Cola,1.19
"PFAND 0,25 EURO",0.25,1,2024-11-16,Pawn,0.25
LEERG. MW V. ST,-0.75,1,2024-11-16,Pawn Payback,-0.75
REWE Bio -5%,-0.23,1,2024-11-16,Discount,-0.23
BIO EIER KL. S-L,2.59,1,2024-11-18,Animal,2.59
"BIO FR.MILCH 3,8",1.25,1,2024-11-18,Dairy,1.25
HAFERFL. ZART,0.79,1,2024-11-18,Breakfast,0.79
OBLATEN,2.39,1,2024-11-19,Candy,2.39
TORT. TOM-MOZ,2.19,1,2024-11-21,Processed Meal Part,2.19
SOJAGURT NATUR,1.39,3,2024-11-21,Yoghurt-Meal,4.17
SOJAGHURT NATUR,0.95,1,2024-11-22,Yoghurt-Meal,0.95
SULTANINEN,1.19,3,2024-11-22,Yoghurt-Meal,3.57
TOFFIFEE 15ER,1.49,1,2024-11-22,Candy,1.49
SOFT CAKE ORANGE,1.79,1,2024-11-22,Candy,1.79
COCA COLA ZERO,1.89,1,2024-11-22,Cola,1.89
"PFAND 0,25 EURO",0.25,1,2024-11-22,Pawn,0.25
RBW Produkte -5%,-0.05,1,2024-11-22,Discount,-0.05
ROTKOHL,1.29,2.254,2024-11-23,Vegetables,2.91
SOJAGURT NATUR,1.39,2,2024-11-23,Yoghurt-Meal,2.78
HAEHNCHENPFANNE,3.69,1,2024-11-23,Ready Meals,3.69
RBW Produkte -5%,-0.18,1,2024-11-23,Discount,-0.18
HUEHNERNUDELTOPF,1.99,2,2024-11-25,Ready Meals,3.98
PASSIERTE TOMATE,1.19,2,2024-11-25,Vegetables,2.38
MERCI MOU.CHOC,2.49,1,2024-11-25,Candy,2.49
CHOCO EDELHERB,1.29,1,2024-11-25,Candy,1.29
COCA COLA ZERO,1.39,1,2024-11-25,Cola,1.39
"PFAND 0,25 EURO",0.25,1,2024-11-25,Pawn,0.25
RBW Produkte -5%,-0.12,1,2024-11-25,Discount,-0.12
"Merci 2,29",-0.2,1,2024-11-25,Discount,-0.2
SOJAGURT NATUR,1.39,3,2024-11-26,Yoghurt-Meal,4.17
CORNFLAKES,1.69,1,2024-11-26,Yoghurt-Meal,1.69
CHOCO EDELHERB,1.29,1,2024-11-26,Candy,1.29
PRINZENROLLE VK,1.49,1,2024-11-26,Candy,1.49
BIO CAMEMBERT,1.99,1,2024-11-26,Dairy,1.99
"BIO FR.MILCH 3,8",1.25,1,2024-11-26,Dairy,1.25
SOJAGURT NATUR,1.39,2,2024-11-28,Yoghurt-Meal,2.78
M&M S PEANUT,2.22,1,2024-11-28,Candy,2.22
LEIBNIZ MINIS,1.49,1,2024-11-28,Candy,1.49
BIO PORR. KAKAO,2.99,2,2024-11-29,Yoghurt-Meal,5.98
HUEHNERNUDELTOPF,1.99,2,2024-11-29,Ready Meals,3.98
COCA COLA ZERO,1.39,1,2024-11-29,Cola,1.39
"PFAND 0,25 EURO",0.25,1,2024-11-29,Pawn,0.25
"BIO FR.MILCH 3,8",1.25,1,2024-12-02,Dairy,1.25
SOJAGURT NATUR,1.39,3,2024-12-02,Yoghurt-Meal,4.17
REWE RAHMSPINAT,1.39,1,2024-12-02,Processed Meal Part,1.39
HAFERFL. ZART,0.79,1,2024-12-02,Breakfast,0.79
RAVIOLI DIAVOLI,1.59,1,2024-12-02,Ready Meals,1.59
SOJAGURT NATUR,1.39,4,2024-12-03,Yoghurt-Meal,5.56
LITTLE DREAMER,1.99,1,2024-12-03,Tea,1.99
SOJAGURT NATUR,1.39,3,2024-12-05,Yoghurt-Meal,4.17
BIO PORR. BEERE,2.99,1,2024-12-05,Breakfast,2.99
TOFFIFEE 48ER,3.59,1,2024-12-05,Candy,3.59
ZWIEBEL ROT,1.19,1,2024-12-05,Vegetables,1.19
SOJAGURT NATUR,1.39,2,2024-12-05,Yoghurt-Meal,2.78
BLATTSPINAT,2.39,1,2024-12-05,Vegetables,2.39
SULTANINEN,1.19,4,2024-12-05,Yoghurt-Meal,4.76
BACKKAKAO,1.99,1,2024-12-05,Yoghurt-Meal,1.99
PASSIERTE TOMATE,1.19,1,2024-12-05,Vegetables,1.19
STUECKIGE TOMATE,1.19,1,2024-12-05,Vegetables,1.19
COCA COLA,1.59,1,2024-12-05,Cola,1.59
"PFAND 0,25 EURO",0.25,1,2024-12-05,Pawn,0.25
SOJAGURT NATUR,1.39,2,2024-12-07,Yoghurt-Meal,2.78
CORNFLAKES,1.69,1,2024-12-07,Yoghurt-Meal,1.69
ZITRONE,0.79,1,2024-12-09,Vegetables,0.79
KAROTTE,0.79,1,2024-12-09,Vegetables,0.79
KUERB. HOKKAIDO,1.49,1.346,2024-12-09,Vegetables,2.01
"BIO FR.MILCH 3,8",1.25,1,2024-12-09,Dairy,1.25
KOKOSMILCH,1.29,1,2024-12-09,Processed Meal Part,1.29
KARTOFFELN BIO,1.99,1,2024-12-12,Vegetables,1.99
ROSENKOHL,0.85,1,2024-12-12,Vegetables,0.85
"BIO FR.MILCH 3,8",1.25,1,2024-12-12,Dairy,1.25
BLATTSPINAT,2.39,1,2024-12-12,Vegetables,2.39
BIO HAFERKLEIE,1.89,1,2024-12-12,Breakfast,1.89
BIO PORR. BEERE,2.99,1,2024-12-12,Breakfast,2.99
HERINGSFILET TER,1.11,1,2024-12-12,Ready Meals,1.11
STUECKIGE TOMATE,1.19,1,2024-12-12,Vegetables,1.19
PASSIERTE TOMATE,1.19,2,2024-12-12,Vegetables,2.38
"BIO FR.MILCH 3,8",1.25,1,2024-12-16,Dairy,1.25
SOJAGURT NATUR,1.39,4,2024-12-16,Yoghurt-Meal,5.56
SULTANINEN,1.19,2,2024-12-16,Yoghurt-Meal,2.38
ZWIEBEL ROT BIO,1.39,1,2024-12-17,Vegetables,1.39
EIER FH RES S-L,1.89,1,2024-12-17,Animal,1.89
RAPSKERNOEL,1.55,1,2024-12-17,Oil,1.55
PASSIERTE TOMATE,1.19,2,2024-12-17,Vegetables,2.38
SOJAGURT NATUR,1.39,3,2024-12-18,Yoghurt-Meal,4.17
BACKKAKAO,1.99,1,2024-12-18,Yoghurt-Meal,1.99
HUEHNERNUDELTOPF,1.59,3,2024-12-18,Ready Meals,4.77
ZIMT GEMAHLEN,3.69,1,2024-12-18,Yoghurt-Meal,3.69
LEERG. MW E. ST,-1.25,1,2024-12-18,Pawn Payback,-1.25
ZITRONE BIO,0.89,2,2024-12-19,Vegetables,1.78
ROTKOHL,0.89,2.116,2024-12-19,Vegetables,1.88
SOJAGURT NATUR,1.39,4,2024-12-20,Yoghurt-Meal,5.56
SULTANINEN,1.19,2,2024-12-20,Yoghurt-Meal,2.38
LINSEN-EINTOPF,1.59,2,2024-12-20,Ready Meals,3.18
RECYCL.TOILETT.,2.45,2,2024-12-20,Hygiene,4.9
GNOCCHI,1.89,1,2024-12-27,Processed Meal Part,1.89
KARTOFFELN BIO,2.99,1,2024-12-27,Vegetables,2.99
WIRSING,1.59,1.384,2024-12-27,Vegetables,2.2
SOJAGURT NATUR,1.39,2,2024-12-27,Yoghurt-Meal,2.78
TELLERLINSEN,2.19,1,2024-12-27,Lentils,2.19
BIO EIER S-XL,3.19,1,2024-12-28,Animal,3.19
"BIO FR.MILCH 3,8",1.25,1,2024-12-28,Dairy,1.25
SOJAGURT NATUR,1.39,4,2024-12-28,Yoghurt-Meal,5.56
CORNFLAKES,1.69,1,2024-12-28,Yoghurt-Meal,1.69
BACKKAKAO,1.99,1,2024-12-28,Yoghurt-Meal,1.99
PASSIERTE TOMATE,1.19,1,2024-12-28,Vegetables,1.19
FA,0.88,1,2024-12-28,Hygiene,0.88
FA,0.88,1,2024-12-28,Hygiene,0.88
OLIV KNOBL 150G,2.29,1,2024-12-30,Vegetables,2.29
"BIO FR.MILCH 3,8",1.25,1,2024-12-30,Dairy,1.25
BW ZIMT,2.79,1,2024-12-30,Yoghurt-Meal,2.79
KOKOSMILCH,1.29,2,2024-12-30,Processed Meal Part,2.58
BIO KESSELCHIPS,1.59,1,2024-12-30,Snacks,1.59
ZITR.-DIREKTSAFT,1.99,1,2024-12-30,Processed Meal Part,1.99
GERAMONT CLASSIC,2.22,1,2024-12-30,Dairy,2.22
ZWIEBEL ROT,1.19,1,2024-12-30,Vegetables,1.19
SOJAGURT NATUR,1.11,4,2024-12-30,Yoghurt-Meal,4.44
BIO ROTE LINSEN,1.29,2,2024-12-30,Lentils,2.58
PASSIERTE TOMATE,1.19,3,2024-12-30,Vegetables,3.57
