Item Name,Price,Quantity,Date
"PFAND 0,25 EURO",0.25,1,03.08.2024
HAEHNCHENPFANNE,3.69,1,05.08.2024
BIO KESSELCHIPS,1.99,1,05.08.2024
"BIO FR.MILCH 3,8",1.25,1,07.08.2024
SOJAGHURT NATUR,0.95,4,07.08.2024
HAFERFLOCK. ZART,1.69,1,07.08.2024
SULTANINEN,1.19,3,07.08.2024
ZIMT GEMAHLEN,3.69,1,07.08.2024
BIO KESSELCHIPS,1.99,1,07.08.2024
BIO KESSELCHIPS,1.99,2,10.08.2024
SCHOKOLADE 85%,1.39,1,10.08.2024
SOJAGHURT NATUR,0.95,4,10.08.2024
RAVIOLI PIKANT,1.59,1,10.08.2024
BIO TOMATENS.KRA,1.89,1,10.08.2024
COCA COLA ZERO,1.11,1,10.08.2024
"PFAND 0,25 EURO",0.25,1,10.08.2024
GERAMONT CLASSIC,2.29,1,12.08.2024
SOJAGHURT NATUR,0.95,4,12.08.2024
HAEHNCHENPFANNE,3.69,1,12.08.2024
CLA. ALM. WHITE,2.99,1,12.08.2024
ROTE LINSEN,1.65,1,12.08.2024
RBW  5%,-0.37,1,12.08.2024
GERAMONT CLASSIC,2.29,2,13.08.2024
SOJAGHURT NATUR,0.95,2,13.08.2024
SULTANINEN,1.19,2,13.08.2024
KAKAO,2.49,1,13.08.2024
BRAUSETABLETTEN,2.99,1,13.08.2024
BIO KESSELCHIPS,1.99,1,13.08.2024
ERDN.GER.+GES.,8.99,1,13.08.2024
RBW  5%,-0.1,1,13.08.2024
MOZZARELLA,1.99,1,14.08.2024
SOJAGHURT NATUR,0.95,2,14.08.2024
KARAMEL SUTRA,6.99,1,14.08.2024
RBW  5%,-0.1,1,14.08.2024
CAPPELLETTI SPIN,1.89,1,15.08.2024
HAEHNCHENPFANNE,3.69,1,15.08.2024
HERINGSFILETS,1.99,1,15.08.2024
BIO KESSELCHIPS,1.99,1,15.08.2024
RBW  5%,-0.28,1,15.08.2024
KNUSPERKEKS,1.49,1,16.08.2024
NOIR 80% FLACH,1.19,1,16.08.2024
SOJAGHURT NATUR,0.95,2,16.08.2024
BIO TOMATENS.KRA,1.89,1,16.08.2024
COCA COLA,1.35,1,16.08.2024
"PFAND 0,25 EURO",0.25,1,16.08.2024
RBW  5%,-0.1,1,16.08.2024
BIO KESSELCHIPS,1.99,1,17.08.2024
KINDERSCHOKOLADE,1.19,1,17.08.2024
VEG. HASELNUSS,1.79,1,17.08.2024
"BIO FR.MILCH 3,8",1.25,1,17.08.2024
